algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,Race-accuracy,0-accuracy_over_1-accuracy,Race-accuracyRatio,diff:1-accuracyto0-accuracy,Race-accuracyDiff,0-TPR,1-TPR,Race-TPR,0-TPR_over_1-TPR,Race-TPRRatio,diff:1-TPRto0-TPR,Race-TPRDiff,0-TNR,1-TNR,Race-TNR,0-TNR_over_1-TNR,Race-TNRRatio,diff:1-TNRto0-TNR,Race-TNRDiff,0-FPR,1-FPR,Race-FPR,0-FPR_over_1-FPR,Race-FPRRatio,diff:1-FPRto0-FPR,Race-FPRDiff,0-FNR,1-FNR,Race-FNR,0-FNR_over_1-FNR,Race-FNRRatio,diff:1-FNRto0-FNR,Race-FNRDiff,0-calibration+,1-calibration+,Race-calibration+,0-calibration+_over_1-calibration+,Race-calibration+Ratio,diff:1-calibration+to0-calibration+,Race-calibration+Diff,0-calibration-,1-calibration-,Race-calibration-,0-calibration-_over_1-calibration-,Race-calibration-Ratio,diff:1-calibration-to0-calibration-,Race-calibration-Diff,SG:Race-accuracy,SG:Race-TPR,SG:Race-TNR,SG:Race-BCR,SG:Race-MCC,SG:Race-DIbinary,SG:Race-DIavgall,SG:Race-CV,SG:Race-calibration-,SG:Race-calibration+
Kamishima-DIavgall,eta=0.0,0,0.575,0.3333333333333333,0.8421052631578947,0.587719298245614,0.20232565955562798,0.0,1.0,0.4736842105263158,0.5714285714285714,0.5789473684210527,0.575187969924812,0.9870129870129869,0.9870129870129869,0.9924812030075187,0.9924812030075187,0.0,0.5833333333333334,0.2916666666666667,0.0,1.0,0.41666666666666663,0.41666666666666663,1.0,0.5714285714285714,0.7857142857142857,1.75,1.75,1.4285714285714286,1.4285714285714286,0.0,0.4285714285714286,0.2142857142857143,0.0,1.0,0.5714285714285714,0.5714285714285714,1.0,0.41666666666666663,0.7083333333333333,2.4000000000000004,2.4000000000000004,1.5833333333333335,1.5833333333333335,1.0,0.7,0.85,1.4285714285714286,1.4285714285714286,1.3,1.3,0.42857142857142855,0.5555555555555556,0.4920634920634921,0.7714285714285714,0.7714285714285714,0.873015873015873,0.873015873015873,0.5789473684210527,0.5833333333333334,0.8421052631578947,0.587719298245614,0.20232565955562798,0.0,1.0,0.4736842105263158,0.5555555555555556,0.7
Kamishima-DIavgall,eta=1.0,0,0.625,0.3333333333333333,0.9473684210526315,0.6403508771929824,0.35043832202523123,0.0,1.0,0.5789473684210527,0.5714285714285714,0.6842105263157895,0.6278195488721805,0.8351648351648351,0.8351648351648351,0.8872180451127819,0.8872180451127819,0.0,0.5833333333333334,0.2916666666666667,0.0,1.0,0.41666666666666663,0.41666666666666663,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.0,0.1428571428571429,0.07142857142857145,0.0,1.0,0.8571428571428571,0.8571428571428571,1.0,0.41666666666666663,0.7083333333333333,2.4000000000000004,2.4000000000000004,1.5833333333333335,1.5833333333333335,1.0,0.875,0.9375,1.1428571428571428,1.1428571428571428,1.125,1.125,0.42857142857142855,0.45454545454545453,0.44155844155844154,0.9428571428571428,0.9428571428571428,0.974025974025974,0.974025974025974,0.6842105263157895,0.5833333333333334,0.9473684210526315,0.7202380952380952,0.4303489473092927,0.0,1.0,0.5789473684210527,0.45454545454545453,0.875
Kamishima-DIavgall,eta=2.0,0,0.625,0.3333333333333333,0.9473684210526315,0.6403508771929824,0.35043832202523123,0.0,1.0,0.5789473684210527,0.5714285714285714,0.6842105263157895,0.6278195488721805,0.8351648351648351,0.8351648351648351,0.8872180451127819,0.8872180451127819,0.0,0.5833333333333334,0.2916666666666667,0.0,1.0,0.41666666666666663,0.41666666666666663,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.0,0.1428571428571429,0.07142857142857145,0.0,1.0,0.8571428571428571,0.8571428571428571,1.0,0.41666666666666663,0.7083333333333333,2.4000000000000004,2.4000000000000004,1.5833333333333335,1.5833333333333335,1.0,0.875,0.9375,1.1428571428571428,1.1428571428571428,1.125,1.125,0.42857142857142855,0.45454545454545453,0.44155844155844154,0.9428571428571428,0.9428571428571428,0.974025974025974,0.974025974025974,0.6842105263157895,0.5833333333333334,0.9473684210526315,0.7202380952380952,0.4303489473092927,0.0,1.0,0.5789473684210527,0.45454545454545453,0.875
Kamishima-DIavgall,eta=3.0,0,0.6,0.2857142857142857,0.9473684210526315,0.6165413533834586,0.3063306911406902,0.0,1.0,0.631578947368421,0.5714285714285714,0.631578947368421,0.6015037593984962,0.9047619047619048,0.9047619047619048,0.9398496240601504,0.9398496240601504,0.0,0.5,0.25,0.0,1.0,0.5,0.5,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.0,0.1428571428571429,0.07142857142857145,0.0,1.0,0.8571428571428571,0.8571428571428571,1.0,0.5,0.75,2.0,2.0,1.5,1.5,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.42857142857142855,0.5,0.4642857142857143,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.9285714285714286,0.631578947368421,0.5,0.9473684210526315,0.6785714285714286,0.3571428571428571,0.0,1.0,0.631578947368421,0.5,0.8571428571428571
Kamishima-DIavgall,eta=4.0,0,0.6,0.2857142857142857,0.9473684210526315,0.6165413533834586,0.3063306911406902,0.0,1.0,0.631578947368421,0.5714285714285714,0.631578947368421,0.6015037593984962,0.9047619047619048,0.9047619047619048,0.9398496240601504,0.9398496240601504,0.0,0.5,0.25,0.0,1.0,0.5,0.5,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.0,0.1428571428571429,0.07142857142857145,0.0,1.0,0.8571428571428571,0.8571428571428571,1.0,0.5,0.75,2.0,2.0,1.5,1.5,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.42857142857142855,0.5,0.4642857142857143,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.9285714285714286,0.631578947368421,0.5,0.9473684210526315,0.6785714285714286,0.3571428571428571,0.0,1.0,0.631578947368421,0.5,0.8571428571428571
Kamishima-DIavgall,eta=5.0,0,0.6,0.2857142857142857,0.9473684210526315,0.6165413533834586,0.3063306911406902,0.0,1.0,0.631578947368421,0.5714285714285714,0.631578947368421,0.6015037593984962,0.9047619047619048,0.9047619047619048,0.9398496240601504,0.9398496240601504,0.0,0.5,0.25,0.0,1.0,0.5,0.5,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.0,0.1428571428571429,0.07142857142857145,0.0,1.0,0.8571428571428571,0.8571428571428571,1.0,0.5,0.75,2.0,2.0,1.5,1.5,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.42857142857142855,0.5,0.4642857142857143,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.9285714285714286,0.631578947368421,0.5,0.9473684210526315,0.6785714285714286,0.3571428571428571,0.0,1.0,0.631578947368421,0.5,0.8571428571428571
Kamishima-DIavgall,eta=10.0,0,0.45,0.0,0.9473684210526315,0.47368421052631576,-0.1683451245853586,0.0,1.0,0.9473684210526316,0.5714285714285714,0.3157894736842105,0.44360902255639095,1.8095238095238095,1.8095238095238095,1.255639097744361,1.255639097744361,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.0,0.1428571428571429,0.07142857142857145,0.0,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.42857142857142855,0.6666666666666666,0.5476190476190476,0.6428571428571429,0.6428571428571429,0.7619047619047619,0.7619047619047619,0.45,0.0,0.9473684210526315,0.47368421052631576,-0.1683451245853586,0.0,1.0,0.9473684210526316,0.6666666666666666,0.0
Kamishima-DIavgall,eta=15.0,0,0.45,0.0,0.9473684210526315,0.47368421052631576,-0.1683451245853586,0.0,1.0,0.9473684210526316,0.5714285714285714,0.3157894736842105,0.44360902255639095,1.8095238095238095,1.8095238095238095,1.255639097744361,1.255639097744361,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.0,0.1428571428571429,0.07142857142857145,0.0,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.42857142857142855,0.6666666666666666,0.5476190476190476,0.6428571428571429,0.6428571428571429,0.7619047619047619,0.7619047619047619,0.45,0.0,0.9473684210526315,0.47368421052631576,-0.1683451245853586,0.0,1.0,0.9473684210526316,0.6666666666666666,0.0
Kamishima-DIavgall,eta=20.0,0,0.475,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5714285714285714,0.3684210526315789,0.4699248120300752,1.5510204081632653,1.5510204081632653,1.2030075187969924,1.2030075187969924,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.631578947368421,0.5300751879699248,0.6785714285714286,0.6785714285714286,0.7969924812030076,0.7969924812030076,0.475,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.631578947368421,1.0
Kamishima-DIavgall,eta=30.0,0,0.475,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5714285714285714,0.3684210526315789,0.4699248120300752,1.5510204081632653,1.5510204081632653,1.2030075187969924,1.2030075187969924,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.631578947368421,0.5300751879699248,0.6785714285714286,0.6785714285714286,0.7969924812030076,0.7969924812030076,0.475,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.631578947368421,1.0
